_rowid,DeliverableID,ConsultantID,Month,ActualHours,event_type,start_date,end_date
1,1,21,,71.29,process_deliverable_1,2020-01-15 01:52:22.889220,2020-02-02 22:30:26.989496
2,1,8,,71.29,process_deliverable_1,2020-01-15 01:52:22.889220,2020-02-02 22:30:26.989496
3,2,31,,149.06,process_deliverable_2,2020-02-02 22:30:26.989496,2020-02-20 05:25:07.235860
4,2,1,,149.06,process_deliverable_2,2020-02-02 22:30:26.989496,2020-02-20 05:25:07.235860
5,3,42,,69.95,process_deliverable_1,2020-02-11 11:11:29.988607,2020-03-04 13:25:41.741143
6,3,33,,69.95,process_deliverable_1,2020-02-11 11:11:29.988607,2020-03-04 13:25:41.741143
7,4,3,,122.06,process_deliverable_4,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
8,4,4,,122.06,process_deliverable_4,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
9,4,5,,122.06,process_deliverable_4,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
10,4,7,,122.06,process_deliverable_4,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
11,4,11,,122.06,process_deliverable_4,2020-02-20 05:25:07.235860,2020-03-16 15:13:48.004686
12,5,34,,28.9,process_deliverable_2,2020-03-04 13:25:41.741143,2020-03-28 11:16:58.788459
13,5,6,,28.9,process_deliverable_2,2020-03-04 13:25:41.741143,2020-03-28 11:16:58.788459
14,6,37,,98.58,process_deliverable_5,2020-03-16 15:13:48.004686,2020-04-11 01:45:35.339231
15,6,13,,98.58,process_deliverable_5,2020-03-16 15:13:48.004686,2020-04-11 01:45:35.339231
16,6,14,,98.58,process_deliverable_5,2020-03-16 15:13:48.004686,2020-04-11 01:45:35.339231
17,7,12,,142.0,process_deliverable_4,2020-03-28 11:16:58.788459,2020-04-23 08:02:19.035041
18,7,17,,142.0,process_deliverable_4,2020-03-28 11:16:58.788459,2020-04-23 08:02:19.035041
19,7,15,,142.0,process_deliverable_4,2020-03-28 11:16:58.788459,2020-04-23 08:02:19.035041
20,7,16,,142.0,process_deliverable_4,2020-03-28 11:16:58.788459,2020-04-23 08:02:19.035041
21,7,18,,142.0,process_deliverable_4,2020-03-28 11:16:58.788459,2020-04-23 08:02:19.035041
22,8,40,,55.25,process_deliverable_5,2020-04-23 08:02:19.035041,2020-05-13 01:14:34.796118
23,8,25,,55.25,process_deliverable_5,2020-04-23 08:02:19.035041,2020-05-13 01:14:34.796118
24,8,27,,55.25,process_deliverable_5,2020-04-23 08:02:19.035041,2020-05-13 01:14:34.796118
25,9,45,,121.95,process_deliverable_1,2020-05-10 16:14:48.749377,2020-05-27 15:58:24.969074
26,9,48,,121.95,process_deliverable_1,2020-05-10 16:14:48.749377,2020-05-27 15:58:24.969074
27,10,54,,46.11,process_deliverable_2,2020-05-27 15:58:24.969074,2020-06-11 21:59:54.575596
28,10,19,,46.11,process_deliverable_2,2020-05-27 15:58:24.969074,2020-06-11 21:59:54.575596
29,11,20,,74.14,process_deliverable_4,2020-06-11 21:59:54.575596,2020-07-05 14:21:31.741585
30,11,22,,74.14,process_deliverable_4,2020-06-11 21:59:54.575596,2020-07-05 14:21:31.741585
31,11,29,,74.14,process_deliverable_4,2020-06-11 21:59:54.575596,2020-07-05 14:21:31.741585
32,11,30,,74.14,process_deliverable_4,2020-06-11 21:59:54.575596,2020-07-05 14:21:31.741585
33,11,35,,74.14,process_deliverable_4,2020-06-11 21:59:54.575596,2020-07-05 14:21:31.741585
34,12,60,,21.29,process_deliverable_5,2020-07-05 14:21:31.741585,2020-07-22 00:35:45.259280
35,12,41,,21.29,process_deliverable_5,2020-07-05 14:21:31.741585,2020-07-22 00:35:45.259280
36,12,43,,21.29,process_deliverable_5,2020-07-05 14:21:31.741585,2020-07-22 00:35:45.259280
37,13,21,,53.21,process_deliverable_1,2020-07-08 19:36:54.916490,2020-07-30 22:46:11.448913
38,13,8,,53.21,process_deliverable_1,2020-07-08 19:36:54.916490,2020-07-30 22:46:11.448913
39,14,31,,153.55,process_deliverable_2,2020-07-30 22:46:11.448913,2020-08-14 02:23:07.152412
40,14,23,,153.55,process_deliverable_2,2020-07-30 22:46:11.448913,2020-08-14 02:23:07.152412
41,16,24,,95.97,process_deliverable_4,2020-08-14 02:23:07.152412,2020-09-01 20:05:23.468039
42,16,26,,95.97,process_deliverable_4,2020-08-14 02:23:07.152412,2020-09-01 20:05:23.468039
43,16,44,,95.97,process_deliverable_4,2020-08-14 02:23:07.152412,2020-09-01 20:05:23.468039
44,16,47,,95.97,process_deliverable_4,2020-08-14 02:23:07.152412,2020-09-01 20:05:23.468039
45,16,51,,95.97,process_deliverable_4,2020-08-14 02:23:07.152412,2020-09-01 20:05:23.468039
46,15,42,,93.11,process_deliverable_1,2020-08-02 02:54:37.995389,2020-09-05 17:19:51.075356
47,15,33,,93.11,process_deliverable_1,2020-08-02 02:54:37.995389,2020-09-05 17:19:51.075356
48,17,45,,156.62,process_deliverable_1,2020-08-17 02:28:10.387717,2020-09-07 20:54:59.633485
49,17,34,,156.62,process_deliverable_1,2020-08-17 02:28:10.387717,2020-09-07 20:54:59.633485
50,18,21,,126.1,process_deliverable_1,2020-08-28 12:53:41.419585,2020-09-18 08:08:18.606224
51,18,37,,126.1,process_deliverable_1,2020-08-28 12:53:41.419585,2020-09-18 08:08:18.606224
52,19,40,,33.7,process_deliverable_5,2020-09-01 20:05:23.468039,2020-09-20 03:55:49.163560
53,19,53,,33.7,process_deliverable_5,2020-09-01 20:05:23.468039,2020-09-20 03:55:49.163560
