_rowid,DeliverableID,TitleID,PlannedHours,created_at
1,1,101,46.51,2020-01-15 01:52:22.889220
2,1,102,57.38,2020-01-15 01:52:22.889220
3,1,103,77.23,2020-01-15 01:52:22.889220
4,1,104,68.88,2020-01-15 01:52:22.889220
5,1,105,56.21,2020-01-15 01:52:22.889220
6,1,106,85.07,2020-01-15 01:52:22.889220
7,2,101,100.67,2020-02-02 22:30:26.989496
8,2,102,47.97,2020-02-02 22:30:26.989496
9,2,103,76.28,2020-02-02 22:30:26.989496
10,2,104,83.32,2020-02-02 22:30:26.989496
11,2,105,34.18,2020-02-02 22:30:26.989496
12,2,106,84.68,2020-02-02 22:30:26.989496
13,3,101,111.84,2020-02-11 11:11:29.988607
14,3,102,53.29,2020-02-11 11:11:29.988607
15,3,103,89.63,2020-02-11 11:11:29.988607
16,3,104,58.05,2020-02-11 11:11:29.988607
17,3,105,76.81,2020-02-11 11:11:29.988607
18,3,106,79.2,2020-02-11 11:11:29.988607
19,4,101,47.64,2020-02-20 05:25:07.235860
20,4,102,34.07,2020-02-20 05:25:07.235860
21,4,103,59.28,2020-02-20 05:25:07.235860
22,4,104,64.98,2020-02-20 05:25:07.235860
23,4,105,54.42,2020-02-20 05:25:07.235860
24,4,106,104.59,2020-02-20 05:25:07.235860
25,5,101,78.84,2020-03-04 13:25:41.741143
26,5,102,42.68,2020-03-04 13:25:41.741143
27,5,103,102.2,2020-03-04 13:25:41.741143
28,5,104,36.71,2020-03-04 13:25:41.741143
29,5,105,118.82,2020-03-04 13:25:41.741143
30,5,106,99.5,2020-03-04 13:25:41.741143
31,6,101,36.66,2020-03-16 15:13:48.004686
32,6,102,62.26,2020-03-16 15:13:48.004686
33,6,103,40.43,2020-03-16 15:13:48.004686
34,6,104,107.68,2020-03-16 15:13:48.004686
35,6,105,86.1,2020-03-16 15:13:48.004686
36,6,106,59.78,2020-03-16 15:13:48.004686
37,7,101,59.27,2020-03-28 11:16:58.788459
38,7,102,95.66,2020-03-28 11:16:58.788459
39,7,103,87.38,2020-03-28 11:16:58.788459
40,7,104,109.85,2020-03-28 11:16:58.788459
41,7,105,72.5,2020-03-28 11:16:58.788459
42,7,106,40.76,2020-03-28 11:16:58.788459
43,8,101,46.79,2020-04-23 08:02:19.035041
44,8,102,110.33,2020-04-23 08:02:19.035041
45,8,103,78.54,2020-04-23 08:02:19.035041
46,8,104,102.67,2020-04-23 08:02:19.035041
47,8,105,110.65,2020-04-23 08:02:19.035041
48,8,106,58.62,2020-04-23 08:02:19.035041
49,9,101,59.09,2020-05-10 16:14:48.749377
50,9,102,76.69,2020-05-10 16:14:48.749377
51,9,103,93.27,2020-05-10 16:14:48.749377
52,9,104,62.73,2020-05-10 16:14:48.749377
53,9,105,117.46,2020-05-10 16:14:48.749377
54,9,106,116.62,2020-05-10 16:14:48.749377
55,10,101,86.91,2020-05-27 15:58:24.969074
56,10,102,87.02,2020-05-27 15:58:24.969074
57,10,103,78.22,2020-05-27 15:58:24.969074
58,10,104,38.13,2020-05-27 15:58:24.969074
59,10,105,105.18,2020-05-27 15:58:24.969074
60,10,106,58.87,2020-05-27 15:58:24.969074
61,11,101,83.18,2020-06-11 21:59:54.575596
62,11,102,90.98,2020-06-11 21:59:54.575596
63,11,103,31.49,2020-06-11 21:59:54.575596
64,11,104,76.09,2020-06-11 21:59:54.575596
65,11,105,50.38,2020-06-11 21:59:54.575596
66,11,106,88.07,2020-06-11 21:59:54.575596
67,12,101,42.38,2020-07-05 14:21:31.741585
68,12,102,60.7,2020-07-05 14:21:31.741585
69,12,103,40.21,2020-07-05 14:21:31.741585
70,12,104,113.22,2020-07-05 14:21:31.741585
71,12,105,108.96,2020-07-05 14:21:31.741585
72,12,106,53.21,2020-07-05 14:21:31.741585
73,13,101,110.74,2020-07-08 19:36:54.916490
74,13,102,109.84,2020-07-08 19:36:54.916490
75,13,103,100.19,2020-07-08 19:36:54.916490
76,13,104,87.78,2020-07-08 19:36:54.916490
77,13,105,37.57,2020-07-08 19:36:54.916490
78,13,106,44.55,2020-07-08 19:36:54.916490
79,14,101,97.18,2020-07-30 22:46:11.448913
80,14,102,88.47,2020-07-30 22:46:11.448913
81,14,103,106.43,2020-07-30 22:46:11.448913
82,14,104,89.19,2020-07-30 22:46:11.448913
83,14,105,81.15,2020-07-30 22:46:11.448913
84,14,106,38.43,2020-07-30 22:46:11.448913
85,15,101,95.02,2020-08-02 02:54:37.995389
86,15,102,55.27,2020-08-02 02:54:37.995389
87,15,103,32.19,2020-08-02 02:54:37.995389
88,15,104,88.09,2020-08-02 02:54:37.995389
89,15,105,45.94,2020-08-02 02:54:37.995389
90,15,106,114.64,2020-08-02 02:54:37.995389
91,16,101,63.31,2020-08-14 02:23:07.152412
92,16,102,31.39,2020-08-14 02:23:07.152412
93,16,103,113.55,2020-08-14 02:23:07.152412
94,16,104,68.54,2020-08-14 02:23:07.152412
95,16,105,117.0,2020-08-14 02:23:07.152412
96,16,106,116.73,2020-08-14 02:23:07.152412
97,17,101,119.1,2020-08-17 02:28:10.387717
98,17,102,42.61,2020-08-17 02:28:10.387717
99,17,103,76.65,2020-08-17 02:28:10.387717
100,17,104,108.96,2020-08-17 02:28:10.387717
101,17,105,96.67,2020-08-17 02:28:10.387717
102,17,106,92.73,2020-08-17 02:28:10.387717
103,18,101,101.62,2020-08-28 12:53:41.419585
104,18,102,110.1,2020-08-28 12:53:41.419585
105,18,103,60.42,2020-08-28 12:53:41.419585
106,18,104,63.8,2020-08-28 12:53:41.419585
107,18,105,38.46,2020-08-28 12:53:41.419585
108,18,106,82.05,2020-08-28 12:53:41.419585
109,19,101,83.17,2020-09-01 20:05:23.468039
110,19,102,32.75,2020-09-01 20:05:23.468039
111,19,103,33.36,2020-09-01 20:05:23.468039
112,19,104,104.03,2020-09-01 20:05:23.468039
113,19,105,62.42,2020-09-01 20:05:23.468039
114,19,106,41.44,2020-09-01 20:05:23.468039
115,20,101,49.42,2020-09-05 17:19:51.075356
116,20,102,86.06,2020-09-05 17:19:51.075356
117,20,103,37.68,2020-09-05 17:19:51.075356
118,20,104,34.65,2020-09-05 17:19:51.075356
119,20,105,77.82,2020-09-05 17:19:51.075356
120,20,106,78.66,2020-09-05 17:19:51.075356
121,21,101,59.07,2020-09-07 20:54:59.633485
122,21,102,101.57,2020-09-07 20:54:59.633485
123,21,103,54.37,2020-09-07 20:54:59.633485
124,21,104,69.51,2020-09-07 20:54:59.633485
125,21,105,37.06,2020-09-07 20:54:59.633485
126,21,106,32.28,2020-09-07 20:54:59.633485
127,22,101,55.19,2020-09-07 23:08:22.342006
128,22,102,115.94,2020-09-07 23:08:22.342006
129,22,103,96.41,2020-09-07 23:08:22.342006
130,22,104,79.89,2020-09-07 23:08:22.342006
131,22,105,85.05,2020-09-07 23:08:22.342006
132,22,106,67.76,2020-09-07 23:08:22.342006
133,23,101,40.45,2020-09-18 08:08:18.606224
134,23,102,34.14,2020-09-18 08:08:18.606224
135,23,103,33.67,2020-09-18 08:08:18.606224
136,23,104,106.99,2020-09-18 08:08:18.606224
137,23,105,93.33,2020-09-18 08:08:18.606224
138,23,106,72.68,2020-09-18 08:08:18.606224
139,24,101,87.9,2020-09-25 07:27:02.055810
140,24,102,71.24,2020-09-25 07:27:02.055810
141,24,103,79.11,2020-09-25 07:27:02.055810
142,24,104,114.73,2020-09-25 07:27:02.055810
143,24,105,64.75,2020-09-25 07:27:02.055810
144,24,106,116.51,2020-09-25 07:27:02.055810
145,25,101,36.24,2020-10-02 22:32:53.281455
146,25,102,39.07,2020-10-02 22:32:53.281455
147,25,103,31.64,2020-10-02 22:32:53.281455
148,25,104,38.5,2020-10-02 22:32:53.281455
149,25,105,91.47,2020-10-02 22:32:53.281455
150,25,106,36.41,2020-10-02 22:32:53.281455
151,26,101,55.37,2020-10-03 00:22:06.535811
152,26,102,40.63,2020-10-03 00:22:06.535811
153,26,103,92.71,2020-10-03 00:22:06.535811
