ExpenseID,DeliverableID,Date,Amount,Description,Category,Billable,created_at
1,6,,6591.19,Fantastic Ceramic Bike,Software,Billable,2020-04-11 01:45:35.339231
2,6,,4202.72,Incredible Rubber Chips,Travel,Billable,2020-04-11 01:45:35.339231
3,6,,4878.27,Fresh Bronze Table,Equipment,Billable,2020-04-11 01:45:35.339231
4,6,,6807.06,Oriental Bamboo Bike,Travel,Billable,2020-04-11 01:45:35.339231
5,6,,5038.0,Fantastic Aluminum Pants,Facilities,Billable,2020-04-11 01:45:35.339231
6,6,,4575.68,Licensed Aluminum Pizza,Travel,Non-Billable,2020-04-11 01:45:35.339231
7,6,,4146.26,Fresh Silk Pants,Facilities,Billable,2020-04-11 01:45:35.339231
8,8,,2854.94,Tasty Aluminum Car,Travel,Billable,2020-05-13 01:14:34.796118
9,8,,3014.83,Frozen Bamboo Sausages,Software,Billable,2020-05-13 01:14:34.796118
10,8,,5955.51,Incredible Concrete Tuna,Travel,Billable,2020-05-13 01:14:34.796118
11,8,,4481.94,Fresh Ceramic Ball,Software,Non-Billable,2020-05-13 01:14:34.796118
12,8,,6534.59,Gorgeous Rubber Sausages,Facilities,Billable,2020-05-13 01:14:34.796118
13,12,,6694.8,Generic Aluminum Bacon,Equipment,Billable,2020-07-22 00:35:45.259280
14,12,,5349.67,Practical Silk Fish,Equipment,Billable,2020-07-22 00:35:45.259280
15,12,,2566.29,Sleek Cotton Bacon,Travel,Non-Billable,2020-07-22 00:35:45.259280
16,19,,2410.12,Refined Metal Chair,Software,Billable,2020-09-20 03:55:49.163560
17,19,,4789.76,Elegant Rubber Keyboard,Equipment,Billable,2020-09-20 03:55:49.163560
18,19,,4743.18,Licensed Wooden Soap,Equipment,Billable,2020-09-20 03:55:49.163560
19,19,,4068.67,Sleek Metal Chips,Facilities,Billable,2020-09-20 03:55:49.163560
20,19,,4595.08,Rustic Bamboo Table,Equipment,Non-Billable,2020-09-20 03:55:49.163560
21,30,,6568.01,Fresh Ceramic Computer,Software,Billable,2020-11-11 03:34:50.664895
22,30,,1174.59,Frozen Rubber Bike,Facilities,Billable,2020-11-11 03:34:50.664895
23,30,,5724.95,Intelligent Silk Sausages,Travel,Non-Billable,2020-11-11 03:34:50.664895
24,30,,6483.93,Bespoke Rubber Soap,Software,Non-Billable,2020-11-11 03:34:50.664895
25,30,,7953.32,Elegant Metal Chair,Facilities,Billable,2020-11-11 03:34:50.664895
26,32,,5590.96,Rustic Steel Mouse,Software,Non-Billable,2020-11-15 23:27:40.255671
27,32,,2805.31,Frozen Marble Chicken,Facilities,Non-Billable,2020-11-15 23:27:40.255671
28,32,,95.47,Awesome Cotton Shoes,Travel,Billable,2020-11-15 23:27:40.255671
