id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
1,ProjectQueue,1,Deliverable,entry,20272.38148700031,2020-01-15 01:52:22.889220,,0,1,
2,ProjectQueue,1,Deliverable,exit,20272.38148700031,2020-01-15 01:52:22.889220,,1,0,0.0
3,ProjectQueue,1,Deliverable,entry,20272.38148700031,2020-01-15 01:52:22.889220,,0,1,
4,ProjectQueue,1,Deliverable,exit,20272.38148700031,2020-01-15 01:52:22.889220,,1,0,0.0
5,ProjectQueue,2,Deliverable,entry,47430.44982493142,2020-02-02 22:30:26.989496,,0,1,
6,ProjectQueue,2,Deliverable,exit,47430.44982493142,2020-02-02 22:30:26.989496,,1,0,0.0
7,ProjectQueue,2,Deliverable,entry,47430.44982493142,2020-02-02 22:30:26.989496,,0,1,
8,ProjectQueue,2,Deliverable,exit,47430.44982493142,2020-02-02 22:30:26.989496,,1,0,0.0
9,ProjectQueue,3,Deliverable,entry,59711.499810121495,2020-02-11 11:11:29.988607,,0,1,
10,ProjectQueue,3,Deliverable,exit,59711.499810121495,2020-02-11 11:11:29.988607,,1,0,0.0
11,ProjectQueue,3,Deliverable,entry,59711.499810121495,2020-02-11 11:11:29.988607,,0,1,
12,ProjectQueue,3,Deliverable,exit,59711.499810121495,2020-02-11 11:11:29.988607,,1,0,0.0
13,ProjectQueue,4,Deliverable,entry,72325.12059767338,2020-02-20 05:25:07.235860,,0,1,
14,ProjectQueue,4,Deliverable,exit,72325.12059767338,2020-02-20 05:25:07.235860,,1,0,0.0
15,ProjectQueue,4,Deliverable,entry,72325.12059767338,2020-02-20 05:25:07.235860,,0,1,
16,ProjectQueue,4,Deliverable,exit,72325.12059767338,2020-02-20 05:25:07.235860,,1,0,0.0
17,ProjectQueue,5,Deliverable,entry,91525.6956857093,2020-03-04 13:25:41.741143,,0,1,
18,ProjectQueue,5,Deliverable,exit,91525.6956857093,2020-03-04 13:25:41.741143,,1,0,0.0
19,ProjectQueue,5,Deliverable,entry,91525.6956857093,2020-03-04 13:25:41.741143,,0,1,
20,ProjectQueue,5,Deliverable,exit,91525.6956857093,2020-03-04 13:25:41.741143,,1,0,0.0
21,ProjectQueue,6,Deliverable,entry,108913.80007810338,2020-03-16 15:13:48.004686,,0,1,
22,ProjectQueue,6,Deliverable,exit,108913.80007810338,2020-03-16 15:13:48.004686,,1,0,0.0
23,ProjectQueue,6,Deliverable,entry,108913.80007810338,2020-03-16 15:13:48.004686,,0,1,
24,ProjectQueue,6,Deliverable,exit,108913.80007810338,2020-03-16 15:13:48.004686,,1,0,0.0
25,ProjectQueue,7,Deliverable,entry,125956.97980764319,2020-03-28 11:16:58.788459,,0,1,
26,ProjectQueue,7,Deliverable,exit,125956.97980764319,2020-03-28 11:16:58.788459,,1,0,0.0
27,ProjectQueue,7,Deliverable,entry,125956.97980764319,2020-03-28 11:16:58.788459,,0,1,
28,ProjectQueue,7,Deliverable,exit,125956.97980764319,2020-03-28 11:16:58.788459,,1,0,0.0
29,ProjectQueue,8,Deliverable,entry,163202.31725068486,2020-04-23 08:02:19.035041,,0,1,
30,ProjectQueue,8,Deliverable,exit,163202.31725068486,2020-04-23 08:02:19.035041,,1,0,0.0
31,ProjectQueue,8,Deliverable,entry,163202.31725068486,2020-04-23 08:02:19.035041,,0,1,
32,ProjectQueue,8,Deliverable,exit,163202.31725068486,2020-04-23 08:02:19.035041,,1,0,0.0
33,ProjectQueue,9,Deliverable,entry,188174.8124896209,2020-05-10 16:14:48.749377,,0,1,
34,ProjectQueue,9,Deliverable,exit,188174.8124896209,2020-05-10 16:14:48.749377,,1,0,0.0
35,ProjectQueue,9,Deliverable,entry,188174.8124896209,2020-05-10 16:14:48.749377,,0,1,
36,ProjectQueue,9,Deliverable,exit,188174.8124896209,2020-05-10 16:14:48.749377,,1,0,0.0
37,ProjectQueue,10,Deliverable,entry,212638.41615122525,2020-05-27 15:58:24.969074,,0,1,
38,ProjectQueue,10,Deliverable,exit,212638.41615122525,2020-05-27 15:58:24.969074,,1,0,0.0
39,ProjectQueue,10,Deliverable,entry,212638.41615122525,2020-05-27 15:58:24.969074,,0,1,
40,ProjectQueue,10,Deliverable,exit,212638.41615122525,2020-05-27 15:58:24.969074,,1,0,0.0
