ConsultantID,Title,ProjectID,ProjectName,BusinessUnit,TotalHours,FirstWorked,LastWorked
1,Senior Consultant,91,Profit-focused secondary leverage,Healthcare,155.22,2027-07-08 03:24:09.134919,2027-07-27 19:31:40.507910
1,Senior Consultant,19,Proactive secondary solution,Energy,152.11,2021-12-04 11:26:56.412354,2021-12-16 10:15:14.167131
1,Senior Consultant,1,Front-line scalable synergy,Retail,149.06,2020-02-02 22:30:26.989496,2020-02-20 05:25:07.235860
1,Senior Consultant,37,Streamlined real-time intranet,Healthcare,136.71,2023-03-18 04:17:39.195974,2023-04-08 04:57:11.977679
1,Senior Consultant,107,Fundamental systematic parallelism,Healthcare,124.67,2028-07-10 23:08:07.200226,2028-08-05 02:17:06.950821
1,Senior Consultant,13,Public-key content-based hardware,Government,112.9,2021-05-19 15:37:13.615612,2021-06-10 17:38:37.583589
1,Senior Consultant,32,Total intangible attitude,Media & Entertainment,111.58,2022-11-08 06:44:50.307747,2022-12-05 20:14:10.832339
1,Senior Consultant,73,Distributed bottom-line concept,Government,104.6,2026-02-28 17:48:41.910766,2026-03-22 10:49:24.761837
1,Senior Consultant,119,Diverse motivating parallelism,Government,95.93,2029-08-16 18:31:28.229724,2029-09-05 01:34:02.376161
1,Senior Consultant,96,Innovative coherent paradigm,Retail,71.32,2027-10-14 15:43:26.892397,2027-11-05 12:18:19.017217
1,Senior Consultant,43,Multi-tiered systemic conglomeration,Retail,62.41,2023-11-29 18:05:59.122398,2023-12-09 09:16:48.738460
1,Senior Consultant,115,Adaptive coherent customer loyalty,Retail,57.49,2028-11-30 07:53:44.786015,2028-12-17 22:44:08.864591
1,Senior Consultant,23,Adaptive cloud-native installation,Government,49.69,2022-04-20 05:44:24.539184,2022-05-10 13:37:40.718534
1,Senior Consultant,54,Virtual contextually-based approach,Energy,49.51,2024-12-04 07:34:51.660401,2024-12-30 16:53:57.026118
1,Senior Consultant,102,Virtual intangible matrices,Retail,46.17,2028-03-03 21:53:17.390494,2028-03-16 15:05:06.222045
1,Senior Consultant,6,Digitized optimizing benchmark,Retail,34.16,2020-10-03 00:22:06.535811,2020-10-21 16:37:29.684396
1,Senior Consultant,66,Fully-configurable homogeneous portal,Media & Entertainment,31.23,2025-10-05 17:26:24.761198,2025-10-30 18:30:40.241223
1,Senior Consultant,85,Reactive impactful complexity,Government,27.16,2027-02-01 03:47:03.663672,2027-02-16 11:19:22.432526
1,Senior Consultant,49,Automated interactive alliance,Healthcare,23.07,2024-08-02 18:41:01.861552,2024-08-23 20:34:50.720608
1,Senior Consultant,61,Upgradable mobile instruction set,Energy,22.32,2025-04-12 07:23:01.364329,2025-05-03 16:11:45.076641
1,Senior Consultant,79,Open-architected modular task-force,Retail,21.68,2026-09-15 00:59:00.679944,2026-10-07 00:34:16.132526
2,Manager,91,Profit-focused secondary leverage,Healthcare,155.22,2027-07-08 03:24:09.134919,2027-07-27 19:31:40.507910
2,Manager,117,Public-key actuating implementation,Retail,152.49,2029-03-10 10:14:47.523017,2029-03-31 05:59:59.009246
2,Manager,39,Smart asynchronous protocol,Energy,146.01,2023-03-12 15:28:24.757416,2023-04-04 10:51:14.280305
2,Manager,12,Reverse-engineered composite capability,Healthcare,145.94,2021-03-17 06:12:44.117519,2021-04-05 05:14:35.556374
2,Manager,67,Persistent context-sensitive parallelism,Retail,142.52,2025-10-15 19:59:51.150932,2025-11-02 09:40:39.996909
2,Manager,46,Reverse-engineered discrete application,Government,140.77,2024-04-23 16:24:01.036097,2024-05-19 15:51:51.062741
2,Manager,5,Innovative content-based interface,Government,132.49,2020-09-05 17:19:51.075356,2020-10-03 12:56:35.207447
2,Manager,29,Future-proofed intangible neural-net,Healthcare,130.08,2022-11-23 19:19:47.479804,2022-12-19 07:21:03.938150
2,Manager,22,AI-driven incremental strategy,Retail,123.1,2022-01-29 18:17:19.183257,2022-02-16 21:33:23.223852
2,Manager,52,Customizable content-based local area network,Media & Entertainment,112.33,2024-10-07 03:41:41.848638,2024-11-03 09:02:05.017479
2,Manager,42,Total optimizing alliance,Retail,111.23,2023-06-03 22:00:36.427389,2023-06-24 23:51:20.147342
2,Manager,95,Configurable local productivity,Healthcare,111.04,2027-10-01 07:07:32.084033,2027-10-24 08:59:30.004350
2,Manager,122,Public-key impactful customer loyalty,Energy,106.04,2029-09-15 02:41:14.089009,2029-10-01 21:08:29.949765
2,Manager,18,Quality-focused cloud-native frame,Retail,77.18,2021-11-01 02:22:33.724787,2021-11-20 14:19:57.993933
2,Manager,59,Customer-focused optimal system engine,Healthcare,75.7,2025-01-02 11:50:54.059887,2025-01-29 14:42:38.641671
2,Manager,1,Front-line scalable synergy,Retail,71.29,2020-01-15 01:52:22.889220,2020-02-02 22:30:26.989496
2,Manager,88,Polarised reciprocal workforce,Media & Entertainment,67.94,2027-04-02 15:29:42.612401,2027-04-23 08:09:57.922377
2,Manager,78,Open-source mobile microservice,Media & Entertainment,50.24,2026-08-11 23:07:14.076634,2026-09-02 18:16:41.913018
2,Manager,84,Reverse-engineered zero tolerance alliance,Energy,45.8,2026-12-09 13:09:02.171083,2026-12-23 21:38:54.193478
2,Manager,113,Innovative holistic conglomeration,Energy,44.7,2028-09-17 08:23:08.742599,2028-10-08 18:20:39.307527
2,Manager,63,Innovative high-level parallelism,Government,38.96,2025-04-20 11:37:31.934798,2025-05-09 19:15:36.352335
2,Manager,74,Future-proofed tertiary customer loyalty,Healthcare,38.44,2026-02-07 10:19:11.576188,2026-03-03 16:15:34.437807
2,Manager,109,Sharable mission-critical focus group,Healthcare,38.03,2028-06-11 03:54:42.860109,2028-07-08 12:54:33.089142
2,Manager,101,Upgradable next generation task-force,Retail,31.21,2028-02-19 23:15:53.004209,2028-03-08 07:05:17.802694
2,Manager,27,Devolved discrete circuit,Government,28.72,2022-08-09 17:38:30.697679,2022-08-26 18:26:52.919543
3,,97,Optimized incremental orchestration,Retail,158.12,2027-09-20 18:03:18.903742,2027-10-07 17:34:53.188580
3,,81,Total stable process improvement,Healthcare,151.79,2026-10-27 16:33:01.193387,2026-11-14 19:26:13.034852
3,,1,Front-line scalable synergy,Retail,149.06,2020-02-02 22:30:26.989496,2020-02-20 05:25:07.235860
3,,110,Realigned neutral service-desk,Energy,143.12,2028-08-27 05:42:15.699531,2028-09-10 00:28:39.060763
3,,50,Innovative 24 hour instruction set,Healthcare,134.99,2024-09-26 14:38:30.515441,2024-10-16 04:55:10.027820
3,,26,Customer-focused bottom-line support,Government,127.07,2022-07-01 18:25:08.733758,2022-07-14 18:17:48.397151
3,,17,Persistent leading edge software,Healthcare,126.15,2021-10-21 12:17:29.976167,2021-11-10 04:58:06.202765
3,,47,Centralized asynchronous interface,Healthcare,120.02,2024-03-21 11:15:26.725483,2024-04-15 13:43:26.666494
3,,11,Future-proofed zero trust hub,Government,103.39,2021-01-17 07:51:15.940092,2021-01-30 06:32:01.516592
3,,62,Universal exuding open architecture,Government,96.5,2025-04-02 04:37:45.707353,2025-04-23 22:51:16.834706
3,,30,Digitized zero tolerance parallelism,Retail,92.53,2022-11-01 21:43:41.540835,2022-11-19 03:37:10.343330
3,,75,Networked full-range task-force,Media & Entertainment,91.65,2026-04-10 22:04:44.280591,2026-04-30 20:35:14.982870
3,,104,Stand-alone zero trust hardware,Government,85.17,2028-05-27 19:26:34.873778,2028-06-27 21:05:12.806065
3,,89,Seamless cohesive open architecture,Government,81.98,2027-06-27 18:20:43.200989,2027-07-17 06:32:11.691518
3,,39,Smart asynchronous protocol,Energy,74.27,2023-05-19 21:45:47.154662,2023-06-12 22:47:45.569760
3,,34,Sharable fresh-thinking matrices,Media & Entertainment,68.33,2023-02-10 03:49:38.317142,2023-03-10 12:42:50.531817
3,,120,User-centric coherent help-desk,Healthcare,65.42,2029-09-11 22:47:59.239435,2029-09-27 10:40:32.946333
3,,54,Virtual contextually-based approach,Energy,56.85,2024-12-30 16:53:57.026118,2025-01-19 19:34:33.228005
3,,117,Public-key actuating implementation,Retail,55.99,2029-01-28 03:56:24.684672,2029-02-19 20:07:39.083509
3,,22,AI-driven incremental strategy,Retail,49.49,2022-01-12 04:59:28.320672,2022-01-29 18:17:19.183257
3,,84,Reverse-engineered zero tolerance alliance,Energy,30.54,2027-02-11 06:14:49.462280,2027-03-12 01:04:22.415668
3,,68,Devolved value-added hub,Energy,28.6,2025-10-07 21:17:33.577940,2025-10-18 13:29:51.986503
3,,101,Upgradable next generation task-force,Retail,24.55,2028-01-02 03:09:52.954905,2028-01-26 20:01:48.552962
3,,6,Digitized optimizing benchmark,Retail,23.26,2020-09-07 20:54:59.633485,2020-10-03 00:22:06.535811
