ProjectID,ProjectName,ProjectType,Status,ActualHoursToDate,PlannedHours,PctComplete,RemainingHours,ForecastedRemainingHours
101,Upgradable next generation task-force,Fixed-Price,Complete,377.86,1922.75,19.7,1544.89,1544.89
80,Public-key high-level function,Time & Materials,Complete,369.93,1896.65,19.5,1526.72,1526.72
105,User-centric fresh-thinking microservice,Time & Materials,Complete,553.03,2021.11,27.4,1468.08,1468.08
93,Decentralized discrete core,Time & Materials,Complete,456.37,1779.98,25.6,1323.61,1323.61
51,Virtual logistical hub,Time & Materials,Complete,540.35,1841.23,29.3,1300.88,1300.88
109,Sharable mission-critical focus group,Time & Materials,Complete,754.72,2042.83,36.9,1288.11,1288.11
20,Face to face executive artificial intelligence,Time & Materials,Complete,833.89,2062.84,40.4,1228.95,1228.95
84,Reverse-engineered zero tolerance alliance,Time & Materials,Complete,658.57,1883.74,35.0,1225.17,1225.17
42,Total optimizing alliance,Time & Materials,Complete,548.56,1751.35,31.3,1202.79,1202.79
92,Focused transitional approach,Time & Materials,Complete,729.65,1926.83,37.9,1197.18,1197.18
88,Polarised reciprocal workforce,Time & Materials,Complete,556.22,1750.62,31.8,1194.4,1194.4
79,Open-architected modular task-force,Fixed-Price,Complete,714.06,1907.5,37.4,1193.44,1193.44
75,Networked full-range task-force,Time & Materials,Complete,730.08,1916.43,38.1,1186.35,1186.35
68,Devolved value-added hub,Fixed-Price,Complete,726.61,1895.53,38.3,1168.92,1168.92
120,User-centric coherent help-desk,Fixed-Price,Complete,674.16,1827.24,36.9,1153.08,1153.08
108,Robust next generation analyzer,Time & Materials,Complete,747.46,1894.01,39.5,1146.55,1146.55
107,Fundamental systematic parallelism,Time & Materials,Complete,844.41,1976.41,42.7,1132.0,1132.0
27,Devolved discrete circuit,Time & Materials,Complete,772.48,1891.71,40.8,1119.23,1119.23
23,Adaptive cloud-native installation,Fixed-Price,Complete,865.48,1983.71,43.6,1118.23,1118.23
31,Grass-roots fault-tolerant complexity,Fixed-Price,Complete,896.05,1999.24,44.8,1103.19,1103.19
61,Upgradable mobile instruction set,Fixed-Price,Complete,756.86,1838.5,41.2,1081.64,1081.64
78,Open-source mobile microservice,Fixed-Price,Complete,915.77,1992.98,45.9,1077.21,1077.21
11,Future-proofed zero trust hub,Fixed-Price,Complete,744.55,1812.95,41.1,1068.4,1068.4
110,Realigned neutral service-desk,Time & Materials,Complete,772.33,1834.29,42.1,1061.96,1061.96
111,Stand-alone responsive portal,Time & Materials,Complete,839.32,1891.27,44.4,1051.95,1051.95
3,Monitored 24/7 system engine,Fixed-Price,Complete,770.69,1819.06,42.4,1048.37,1048.37
56,Self-enabling composite knowledge base,Time & Materials,Complete,809.34,1852.38,43.7,1043.04,1043.04
85,Reactive impactful complexity,Time & Materials,Complete,621.99,1633.14,38.1,1011.15,1011.15
45,Self-enabling national contingency,Fixed-Price,Complete,882.21,1890.29,46.7,1008.08,1008.08
106,Implemented coherent middleware,Time & Materials,Complete,698.1,1703.37,41.0,1005.27,1005.27
28,Automated data-driven firmware,Time & Materials,Complete,755.17,1750.89,43.1,995.72,995.72
60,Intuitive data-driven collaboration,Fixed-Price,Complete,909.55,1890.9,48.1,981.35,981.35
63,Innovative high-level parallelism,Fixed-Price,Complete,818.2,1799.29,45.5,981.09,981.09
102,Virtual intangible matrices,Fixed-Price,Complete,840.32,1799.3,46.7,958.98,958.98
115,Adaptive coherent customer loyalty,Time & Materials,Complete,652.25,1585.2,41.1,932.95,932.95
70,Robust zero defect installation,Fixed-Price,Complete,844.34,1768.02,47.8,923.68,923.68
90,Realigned leading edge firmware,Fixed-Price,Complete,964.37,1887.62,51.1,923.25,923.25
6,Digitized optimizing benchmark,Fixed-Price,Complete,851.08,1773.15,48.0,922.07,922.07
64,Triple-buffered national focus group,Time & Materials,Complete,836.92,1753.65,47.7,916.73,916.73
59,Customer-focused optimal system engine,Time & Materials,Complete,707.05,1623.17,43.6,916.12,916.12
69,Managed responsive migration,Fixed-Price,Complete,822.64,1736.07,47.4,913.43,913.43
100,Open-source asynchronous monitoring,Fixed-Price,Complete,852.07,1765.43,48.3,913.36,913.36
62,Universal exuding open architecture,Time & Materials,Complete,938.02,1850.63,50.7,912.61,912.61
21,Public-key neutral intranet,Time & Materials,Complete,934.15,1841.33,50.7,907.18,907.18
72,Focused value-added focus group,Time & Materials,Complete,979.28,1883.27,52.0,903.99,903.99
66,Fully-configurable homogeneous portal,Time & Materials,Complete,822.51,1720.25,47.8,897.74,897.74
4,Virtual regional website,Time & Materials,Complete,994.47,1859.21,53.5,864.74,864.74
58,Fundamental optimal instruction set,Fixed-Price,Complete,846.79,1701.46,49.8,854.67,854.67
2,Balanced systemic firmware,Fixed-Price,Complete,1073.45,1920.59,55.9,847.14,847.14
98,Seamless immersive benchmark,Time & Materials,Complete,1030.63,1860.69,55.4,830.06,830.06
118,Automated directional hardware,Time & Materials,Complete,968.73,1798.36,53.9,829.63,829.63
52,Customizable content-based local area network,Time & Materials,Complete,1011.25,1840.26,55.0,829.01,829.01
35,Streamlined composite capacity,Fixed-Price,Complete,971.97,1784.1,54.5,812.13,812.13
32,Total intangible attitude,Time & Materials,Complete,1164.49,1975.74,58.9,811.25,811.25
117,Public-key actuating implementation,Fixed-Price,Complete,847.22,1657.12,51.1,809.9,809.9
38,Reactive transitional service-desk,Fixed-Price,Complete,919.51,1727.32,53.2,807.81,807.81
44,Open-architected responsive array,Fixed-Price,Complete,1123.47,1922.92,58.4,799.45,799.45
39,Smart asynchronous protocol,Fixed-Price,Complete,969.63,1755.35,55.2,785.72,785.72
17,Persistent leading edge software,Fixed-Price,Complete,936.1,1717.3,54.5,781.2,781.2
9,Automated bottom-line generative AI,Time & Materials,Complete,1070.18,1848.51,57.9,778.33,778.33
83,Secured AI-powered neural-net,Fixed-Price,Complete,1075.25,1853.42,58.0,778.17,778.17
54,Virtual contextually-based approach,Time & Materials,Complete,875.42,1641.74,53.3,766.32,766.32
