ProjectID,ProjectName,ProjectType,Status,TitleID,TitleName,PlannedHours,ActualHours,RemainingPlannedHours
1,Front-line scalable synergy,Time & Materials,Complete,101,Consultant,46.51,0.0,46.51
1,Front-line scalable synergy,Time & Materials,Complete,101,Consultant,100.67,0.0,100.67
1,Front-line scalable synergy,Time & Materials,Complete,101,Consultant,47.64,0.0,47.64
1,Front-line scalable synergy,Time & Materials,Complete,101,Consultant,36.66,0.0,36.66
1,Front-line scalable synergy,Time & Materials,Complete,102,Senior Consultant,57.38,71.29,0.0
1,Front-line scalable synergy,Time & Materials,Complete,102,Senior Consultant,47.97,149.06,0.0
1,Front-line scalable synergy,Time & Materials,Complete,102,Senior Consultant,34.07,122.06,0.0
1,Front-line scalable synergy,Time & Materials,Complete,102,Senior Consultant,62.26,0.0,62.26
1,Front-line scalable synergy,Time & Materials,Complete,103,Manager,77.23,71.29,5.94
1,Front-line scalable synergy,Time & Materials,Complete,103,Manager,76.28,0.0,76.28
1,Front-line scalable synergy,Time & Materials,Complete,103,Manager,59.28,122.06,0.0
1,Front-line scalable synergy,Time & Materials,Complete,103,Manager,40.43,0.0,40.43
1,Front-line scalable synergy,Time & Materials,Complete,104,Senior Manager,68.88,0.0,68.88
1,Front-line scalable synergy,Time & Materials,Complete,104,Senior Manager,83.32,0.0,83.32
1,Front-line scalable synergy,Time & Materials,Complete,104,Senior Manager,64.98,0.0,64.98
1,Front-line scalable synergy,Time & Materials,Complete,104,Senior Manager,107.68,0.0,107.68
1,Front-line scalable synergy,Time & Materials,Complete,105,Associate Partner,56.21,0.0,56.21
1,Front-line scalable synergy,Time & Materials,Complete,105,Associate Partner,34.18,0.0,34.18
1,Front-line scalable synergy,Time & Materials,Complete,105,Associate Partner,54.42,122.06,0.0
1,Front-line scalable synergy,Time & Materials,Complete,105,Associate Partner,86.1,98.58,0.0
1,Front-line scalable synergy,Time & Materials,Complete,106,Partner,85.07,0.0,85.07
1,Front-line scalable synergy,Time & Materials,Complete,106,Partner,84.68,0.0,84.68
1,Front-line scalable synergy,Time & Materials,Complete,106,Partner,104.59,0.0,104.59
1,Front-line scalable synergy,Time & Materials,Complete,106,Partner,59.78,0.0,59.78
2,Balanced systemic firmware,Fixed-Price,Complete,101,Consultant,111.84,0.0,111.84
2,Balanced systemic firmware,Fixed-Price,Complete,101,Consultant,78.84,0.0,78.84
2,Balanced systemic firmware,Fixed-Price,Complete,101,Consultant,59.27,0.0,59.27
2,Balanced systemic firmware,Fixed-Price,Complete,101,Consultant,46.79,0.0,46.79
2,Balanced systemic firmware,Fixed-Price,Complete,102,Senior Consultant,53.29,0.0,53.29
2,Balanced systemic firmware,Fixed-Price,Complete,102,Senior Consultant,42.68,0.0,42.68
2,Balanced systemic firmware,Fixed-Price,Complete,102,Senior Consultant,95.66,0.0,95.66
2,Balanced systemic firmware,Fixed-Price,Complete,102,Senior Consultant,110.33,0.0,110.33
2,Balanced systemic firmware,Fixed-Price,Complete,103,Manager,89.63,0.0,89.63
2,Balanced systemic firmware,Fixed-Price,Complete,103,Manager,102.2,0.0,102.2
2,Balanced systemic firmware,Fixed-Price,Complete,103,Manager,87.38,142.0,0.0
2,Balanced systemic firmware,Fixed-Price,Complete,103,Manager,78.54,0.0,78.54
2,Balanced systemic firmware,Fixed-Price,Complete,104,Senior Manager,58.05,0.0,58.05
2,Balanced systemic firmware,Fixed-Price,Complete,104,Senior Manager,36.71,0.0,36.71
2,Balanced systemic firmware,Fixed-Price,Complete,104,Senior Manager,109.85,142.0,0.0
2,Balanced systemic firmware,Fixed-Price,Complete,104,Senior Manager,102.67,55.25,47.42
2,Balanced systemic firmware,Fixed-Price,Complete,105,Associate Partner,76.81,69.95,6.86
2,Balanced systemic firmware,Fixed-Price,Complete,105,Associate Partner,118.82,28.9,89.92
2,Balanced systemic firmware,Fixed-Price,Complete,105,Associate Partner,72.5,0.0,72.5
2,Balanced systemic firmware,Fixed-Price,Complete,105,Associate Partner,110.65,0.0,110.65
2,Balanced systemic firmware,Fixed-Price,Complete,106,Partner,79.2,0.0,79.2
2,Balanced systemic firmware,Fixed-Price,Complete,106,Partner,99.5,0.0,99.5
2,Balanced systemic firmware,Fixed-Price,Complete,106,Partner,40.76,142.0,0.0
2,Balanced systemic firmware,Fixed-Price,Complete,106,Partner,58.62,55.25,3.37
3,Monitored 24/7 system engine,Fixed-Price,Complete,101,Consultant,59.09,121.95,0.0
3,Monitored 24/7 system engine,Fixed-Price,Complete,101,Consultant,86.91,0.0,86.91
3,Monitored 24/7 system engine,Fixed-Price,Complete,101,Consultant,83.18,0.0,83.18
3,Monitored 24/7 system engine,Fixed-Price,Complete,101,Consultant,42.38,21.29,21.09
3,Monitored 24/7 system engine,Fixed-Price,Complete,102,Senior Consultant,76.69,0.0,76.69
3,Monitored 24/7 system engine,Fixed-Price,Complete,102,Senior Consultant,87.02,46.11,40.91
3,Monitored 24/7 system engine,Fixed-Price,Complete,102,Senior Consultant,90.98,74.14,16.84
3,Monitored 24/7 system engine,Fixed-Price,Complete,102,Senior Consultant,60.7,21.29,39.41
3,Monitored 24/7 system engine,Fixed-Price,Complete,103,Manager,93.27,121.95,0.0
3,Monitored 24/7 system engine,Fixed-Price,Complete,103,Manager,78.22,46.11,32.11
3,Monitored 24/7 system engine,Fixed-Price,Complete,103,Manager,31.49,74.14,0.0
3,Monitored 24/7 system engine,Fixed-Price,Complete,103,Manager,40.21,21.29,18.92
3,Monitored 24/7 system engine,Fixed-Price,Complete,104,Senior Manager,62.73,0.0,62.73
3,Monitored 24/7 system engine,Fixed-Price,Complete,104,Senior Manager,38.13,0.0,38.13
3,Monitored 24/7 system engine,Fixed-Price,Complete,104,Senior Manager,76.09,0.0,76.09
3,Monitored 24/7 system engine,Fixed-Price,Complete,104,Senior Manager,113.22,0.0,113.22
3,Monitored 24/7 system engine,Fixed-Price,Complete,105,Associate Partner,117.46,0.0,117.46
3,Monitored 24/7 system engine,Fixed-Price,Complete,105,Associate Partner,105.18,0.0,105.18
3,Monitored 24/7 system engine,Fixed-Price,Complete,105,Associate Partner,50.38,0.0,50.38
3,Monitored 24/7 system engine,Fixed-Price,Complete,105,Associate Partner,108.96,0.0,108.96
3,Monitored 24/7 system engine,Fixed-Price,Complete,106,Partner,116.62,0.0,116.62
3,Monitored 24/7 system engine,Fixed-Price,Complete,106,Partner,58.87,0.0,58.87
3,Monitored 24/7 system engine,Fixed-Price,Complete,106,Partner,88.07,74.14,13.93
3,Monitored 24/7 system engine,Fixed-Price,Complete,106,Partner,53.21,0.0,53.21
4,Virtual regional website,Time & Materials,Complete,101,Consultant,110.74,0.0,110.74
4,Virtual regional website,Time & Materials,Complete,101,Consultant,97.18,0.0,97.18
4,Virtual regional website,Time & Materials,Complete,101,Consultant,63.31,95.97,0.0
4,Virtual regional website,Time & Materials,Complete,101,Consultant,83.17,33.7,49.47
4,Virtual regional website,Time & Materials,Complete,102,Senior Consultant,109.84,53.21,56.63
4,Virtual regional website,Time & Materials,Complete,102,Senior Consultant,88.47,153.55,0.0
4,Virtual regional website,Time & Materials,Complete,102,Senior Consultant,31.39,0.0,31.39
4,Virtual regional website,Time & Materials,Complete,102,Senior Consultant,32.75,33.7,0.0
4,Virtual regional website,Time & Materials,Complete,103,Manager,100.19,0.0,100.19
4,Virtual regional website,Time & Materials,Complete,103,Manager,106.43,0.0,106.43
4,Virtual regional website,Time & Materials,Complete,103,Manager,113.55,95.97,17.58
4,Virtual regional website,Time & Materials,Complete,103,Manager,33.36,0.0,33.36
4,Virtual regional website,Time & Materials,Complete,104,Senior Manager,87.78,0.0,87.78
4,Virtual regional website,Time & Materials,Complete,104,Senior Manager,89.19,0.0,89.19
4,Virtual regional website,Time & Materials,Complete,104,Senior Manager,68.54,95.97,0.0
4,Virtual regional website,Time & Materials,Complete,104,Senior Manager,104.03,0.0,104.03
4,Virtual regional website,Time & Materials,Complete,105,Associate Partner,37.57,0.0,37.57
4,Virtual regional website,Time & Materials,Complete,105,Associate Partner,81.15,0.0,81.15
4,Virtual regional website,Time & Materials,Complete,105,Associate Partner,117.0,0.0,117.0
4,Virtual regional website,Time & Materials,Complete,105,Associate Partner,62.42,0.0,62.42
4,Virtual regional website,Time & Materials,Complete,106,Partner,44.55,53.21,0.0
4,Virtual regional website,Time & Materials,Complete,106,Partner,38.43,0.0,38.43
4,Virtual regional website,Time & Materials,Complete,106,Partner,116.73,95.97,20.76
4,Virtual regional website,Time & Materials,Complete,106,Partner,41.44,0.0,41.44
5,Innovative content-based interface,Fixed-Price,Complete,101,Consultant,95.02,93.11,1.91
5,Innovative content-based interface,Fixed-Price,Complete,101,Consultant,49.42,0.0,49.42
5,Innovative content-based interface,Fixed-Price,Complete,101,Consultant,45.97,0.0,45.97
5,Innovative content-based interface,Fixed-Price,Complete,101,Consultant,109.89,0.0,109.89
5,Innovative content-based interface,Fixed-Price,Complete,102,Senior Consultant,55.27,0.0,55.27
5,Innovative content-based interface,Fixed-Price,Complete,102,Senior Consultant,86.06,0.0,86.06
5,Innovative content-based interface,Fixed-Price,Complete,102,Senior Consultant,97.56,0.0,97.56
5,Innovative content-based interface,Fixed-Price,Complete,102,Senior Consultant,61.58,46.34,15.24
5,Innovative content-based interface,Fixed-Price,Complete,103,Manager,32.19,0.0,32.19
5,Innovative content-based interface,Fixed-Price,Complete,103,Manager,37.68,132.49,0.0
5,Innovative content-based interface,Fixed-Price,Complete,103,Manager,102.62,96.93,5.69
5,Innovative content-based interface,Fixed-Price,Complete,103,Manager,40.54,46.34,0.0
5,Innovative content-based interface,Fixed-Price,Complete,104,Senior Manager,88.09,0.0,88.09
5,Innovative content-based interface,Fixed-Price,Complete,104,Senior Manager,34.65,0.0,34.65
5,Innovative content-based interface,Fixed-Price,Complete,104,Senior Manager,119.15,0.0,119.15
5,Innovative content-based interface,Fixed-Price,Complete,104,Senior Manager,42.87,0.0,42.87
5,Innovative content-based interface,Fixed-Price,Complete,105,Associate Partner,45.94,93.11,0.0
5,Innovative content-based interface,Fixed-Price,Complete,105,Associate Partner,77.82,0.0,77.82
5,Innovative content-based interface,Fixed-Price,Complete,105,Associate Partner,67.14,193.86,0.0
5,Innovative content-based interface,Fixed-Price,Complete,105,Associate Partner,98.54,0.0,98.54
5,Innovative content-based interface,Fixed-Price,Complete,106,Partner,114.64,0.0,114.64
5,Innovative content-based interface,Fixed-Price,Complete,106,Partner,78.66,0.0,78.66
5,Innovative content-based interface,Fixed-Price,Complete,106,Partner,63.48,0.0,63.48
5,Innovative content-based interface,Fixed-Price,Complete,106,Partner,85.64,0.0,85.64
6,Digitized optimizing benchmark,Fixed-Price,Complete,101,Consultant,119.1,313.24,0.0
6,Digitized optimizing benchmark,Fixed-Price,Complete,101,Consultant,59.07,0.0,59.07
6,Digitized optimizing benchmark,Fixed-Price,Complete,101,Consultant,55.37,0.0,55.37
6,Digitized optimizing benchmark,Fixed-Price,Complete,101,Consultant,93.09,106.84,0.0
6,Digitized optimizing benchmark,Fixed-Price,Complete,102,Senior Consultant,42.61,0.0,42.61
6,Digitized optimizing benchmark,Fixed-Price,Complete,102,Senior Consultant,101.57,0.0,101.57
6,Digitized optimizing benchmark,Fixed-Price,Complete,102,Senior Consultant,40.63,68.32,0.0
6,Digitized optimizing benchmark,Fixed-Price,Complete,102,Senior Consultant,36.55,106.84,0.0
6,Digitized optimizing benchmark,Fixed-Price,Complete,103,Manager,76.65,0.0,76.65
6,Digitized optimizing benchmark,Fixed-Price,Complete,103,Manager,54.37,0.0,54.37
6,Digitized optimizing benchmark,Fixed-Price,Complete,103,Manager,92.71,34.16,58.55
6,Digitized optimizing benchmark,Fixed-Price,Complete,103,Manager,103.97,0.0,103.97
6,Digitized optimizing benchmark,Fixed-Price,Complete,104,Senior Manager,108.96,0.0,108.96
6,Digitized optimizing benchmark,Fixed-Price,Complete,104,Senior Manager,69.51,0.0,69.51
6,Digitized optimizing benchmark,Fixed-Price,Complete,104,Senior Manager,86.6,0.0,86.6
6,Digitized optimizing benchmark,Fixed-Price,Complete,104,Senior Manager,93.56,0.0,93.56
6,Digitized optimizing benchmark,Fixed-Price,Complete,105,Associate Partner,96.67,0.0,96.67
6,Digitized optimizing benchmark,Fixed-Price,Complete,105,Associate Partner,37.06,0.0,37.06
6,Digitized optimizing benchmark,Fixed-Price,Complete,105,Associate Partner,108.97,0.0,108.97
6,Digitized optimizing benchmark,Fixed-Price,Complete,105,Associate Partner,37.32,0.0,37.32
6,Digitized optimizing benchmark,Fixed-Price,Complete,106,Partner,92.73,0.0,92.73
6,Digitized optimizing benchmark,Fixed-Price,Complete,106,Partner,32.28,23.26,9.02
6,Digitized optimizing benchmark,Fixed-Price,Complete,106,Partner,96.16,0.0,96.16
6,Digitized optimizing benchmark,Fixed-Price,Complete,106,Partner,37.64,0.0,37.64
7,Proactive holistic data-warehouse,Time & Materials,Complete,101,Consultant,101.62,0.0,101.62
7,Proactive holistic data-warehouse,Time & Materials,Complete,101,Consultant,40.45,0.0,40.45
7,Proactive holistic data-warehouse,Time & Materials,Complete,101,Consultant,36.24,0.0,36.24
7,Proactive holistic data-warehouse,Time & Materials,Complete,101,Consultant,97.8,0.0,97.8
7,Proactive holistic data-warehouse,Time & Materials,Complete,102,Senior Consultant,110.1,126.1,0.0
7,Proactive holistic data-warehouse,Time & Materials,Complete,102,Senior Consultant,34.14,0.0,34.14
7,Proactive holistic data-warehouse,Time & Materials,Complete,102,Senior Consultant,39.07,0.0,39.07
7,Proactive holistic data-warehouse,Time & Materials,Complete,102,Senior Consultant,63.86,23.69,40.17
7,Proactive holistic data-warehouse,Time & Materials,Complete,103,Manager,60.42,0.0,60.42
7,Proactive holistic data-warehouse,Time & Materials,Complete,103,Manager,33.67,0.0,33.67
7,Proactive holistic data-warehouse,Time & Materials,Complete,103,Manager,31.64,152.61,0.0
