ProjectID,ProjectName,Status,BusinessUnit,ContractValue,RevenueToDate,LaborCostToDate,ExpensesToDate,TotalCostsToDate,ExpectedCostsAtCompletion,ExpectedProfit
126,Managed national website,In Progress,Retail,144283.65,0.0,0.0,0.0,0.0,145919.6,-1635.95
15,Grass-roots optimizing capacity,Complete,Energy,437803.53,433556.21,442102.32,20829.76,462932.08,467467.17,-29663.64
121,Team-oriented zero defect access,Complete,Healthcare,455529.93,379199.81,427999.41,24222.63,452222.04,543251.0,-87721.07
5,Innovative content-based interface,Complete,Government,487854.75,303036.51,347209.88,27904.8,375114.68,603892.51,-116037.76
47,Centralized asynchronous interface,Complete,Healthcare,452342.44,262951.95,320783.58,16134.85,336918.43,579583.09,-127240.65
96,Innovative coherent paradigm,Complete,Retail,442577.55,291915.33,342416.41,33663.87,376080.28,570181.4,-127603.85
34,Sharable fresh-thinking matrices,Complete,Media & Entertainment,457896.85,332638.53,413316.78,27114.02,440430.8,606279.36,-148382.51
114,Expanded 24 hour algorithm,Complete,Energy,470294.34,304097.8,378482.48,21671.63,400154.11,618847.68,-148553.34
45,Self-enabling national contingency,Complete,Retail,482282.14,225084.05,274489.35,23830.43,298319.78,639202.57,-156920.43
18,Quality-focused cloud-native frame,Complete,Retail,441544.49,323044.83,407496.74,42151.37,449648.11,614588.52,-173044.03
35,Streamlined composite capacity,Complete,Healthcare,432777.23,235775.17,318064.22,14455.6,332519.82,610356.92,-177579.69
6,Digitized optimizing benchmark,Complete,Retail,433011.5,207837.71,265365.33,32570.54,297935.87,620723.06,-187711.56
112,Devolved encompassing capability,Complete,Energy,424060.61,297636.29,391990.18,38311.95,430302.13,613077.74,-189017.13
70,Robust zero defect installation,Complete,Media & Entertainment,419219.41,200203.46,280983.69,11726.52,292710.21,612925.48,-193706.07
79,Open-architected modular task-force,Complete,Retail,478428.1,179096.39,213521.79,39374.78,252896.57,675573.78,-197145.68
43,Multi-tiered systemic conglomeration,Complete,Retail,398296.12,293517.58,431876.22,11122.66,442998.88,601138.57,-202842.45
29,Future-proofed intangible neural-net,Complete,Healthcare,381810.68,253755.48,374564.95,15669.38,390234.33,587162.24,-205351.56
3,Monitored 24/7 system engine,Complete,Healthcare,418106.64,177141.27,249596.95,14610.76,264207.71,623609.59,-205502.95
55,Focused systemic firmware,Complete,Healthcare,450684.28,370565.48,517757.31,38105.84,555863.15,676044.58,-225360.3
